"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name"
"admin";"base";"Default";"simple";"Appliances";"ORG5025";"0";"Organa ORG5025 Chamomile Lemon Single Cup Tea Pods, 18-Count"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"ORG5025";"0";"Organa ORG5025 Chamomile Lemon Single Cup Tea Pods, 18-Count"
"admin";"base";"Default";"simple";"Appliances";"ORG5035";"0";"Organa ORG5035 Chai Single Cup Tea Pods, 18-Count"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"ORG5035";"0";"Organa ORG5035 Chai Single Cup Tea Pods, 18-Count"
"admin";"base";"Default";"simple";"Appliances";"OGB81101";"0";"Oster OGB81101 1.1-Cubic Foot Digital Microwave Oven, White"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"OGB81101";"0";"Oster OGB81101 1.1-Cubic Foot Digital Microwave Oven, White"
"admin";"base";"Default";"simple";"Appliances";"OGG3701";"0";"Oster OGG3701 0.7-Cubic Foot Microwave Oven"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"OGG3701";"0";"Oster OGG3701 0.7-Cubic Foot Microwave Oven"
"admin";"base";"Default";"simple";"Appliances";"OGG61403";"0";"Oster OGG61403 1.4-Cubic Foot Digital Microwave Oven, Stainless Steel "
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"OGG61403";"0";"Oster OGG61403 1.4-Cubic Foot Digital Microwave Oven, Stainless Steel "
"admin";"base";"Default";"simple";"Appliances";"PE011106";"0";"Perfect Meatloaf PE011106 Baking Pan Set"
"admin";"base";"Default";"simple";"Appliances/Small Appliances";"PE011106";"0";"Perfect Meatloaf PE011106 Baking Pan Set"
"admin";"base";"Default";"simple";"Appliances/Small Appliances/As Seen On TV";"PE011106";"0";"Perfect Meatloaf PE011106 Baking Pan Set"
"admin";"base";"Default";"simple";"Appliances";"GL2JBC-Y";"0";"Pro Sports Eyewear Boston Celtics Youth Swim Goggles"
"admin";"base";"Default";"simple";"Appliances/Small Appliances";"GL2JBC-Y";"0";"Pro Sports Eyewear Boston Celtics Youth Swim Goggles"
"admin";"base";"Default";"simple";"Appliances/Small Appliances/Active Living";"GL2JBC-Y";"0";"Pro Sports Eyewear Boston Celtics Youth Swim Goggles"
